id,category,courseName,credit
1,Mathematics and Science Foundation ,Calculus & Analytical Geometry,3
2,Mathematics and Science Foundation ,Probability & Statistics,3
3,Mathematics and Science Foundation ,Linear Algebra,3
4,Mathematics and Science Foundation ,Applied Physics,3
5,Mathematics and Science Foundation ,Calculus - I,3
6,Mathematics and Science Foundation ,Probability and Statistic,3
